tag_ident, average_duration, average_start_time, average_end_time, owl_type
1750,8:45:55,18:20:29,3:06:24,urban
1751,9:23:49,18:06:54,3:30:44,urban
1753,9:19:21,18:06:47,3:26:08,urban
1754,9:22:51,18:02:23,3:25:14,urban
1292,7:25:11,19:01:56,2:27:07,rural
3893,9:49:49,18:26:01,4:15:51,urban
3892,9:22:05,18:43:59,4:06:05,urban
3894,8:58:42,18:45:44,3:44:26,rural
3895,8:39:30,19:01:44,3:41:14,rural
3896,10:07:33,18:19:26,4:26:59,rural
3897,8:55:54,18:52:55,3:48:50,rural
3899,8:41:56,19:02:03,3:44:00,urban
3898,8:55:14,19:02:02,3:57:16,rural
4043,7:58:40,19:12:41,3:11:22,urban
4044,8:54:55,19:02:17,3:57:12,urban
4045,7:08:22,19:02:04,2:10:26,urban
4046,8:29:20,19:02:26,3:31:46,urban
5158,8:00:14,19:02:29,3:02:43,urban
5159,8:28:44,19:02:03,3:30:47,urban
4846,8:54:11,19:02:19,3:56:31,rural
4848,11:13:05,18:03:14,5:16:20,urban
